名前,タイプ1,タイプ2
ガラガラ(アローラのすがた),ほのお,ゴースト
サワムラー,かくとう,
エビワラー,かくとう,
ベロリンガ,ノーマル,
ドガース,どく,
マタドガス,どく,
マタドガス(ガラルのすがた),どく,フェアリー
サイホーン,じめん,いわ
サイドン,じめん,いわ
ラッキー,ノーマル,
モンジャラ,くさ,
ガルーラ,ノーマル,
タッツー,みず,
シードラ,みず,
トサキント,みず,
アズマオウ,みず,
ヒトデマン,みず,
スターミー,みず,エスパー
バリヤード,エスパー,フェアリー
バリヤード(ガラルのすがた),こおり,エスパー
ストライク,むし,ひこう
ルージュラ,こおり,エスパー
エレブー,でんき,
ブーバー,ほのお,
カイロス,むし,
ケンタロス,ノーマル,
コイキング,みず,
ギャラドス,みず,ひこう
ラプラス,みず,こおり
メタモン,ノーマル,
イーブイ,ノーマル,
シャワーズ,みず,
サンダース,でんき,
ブースター,ほのお,
ポリゴン,ノーマル,
オムナイト,いわ,みず
オムスター,いわ,みず
カブト,いわ,みず
カブトプス,いわ,みず
プテラ,いわ,ひこう
カビゴン,ノーマル,
フリーザー,こおり,ひこう
フリーザー(ガラルのすがた),エスパー,ひこう
サンダー,でんき,ひこう
サンダー(ガラルのすがた),かくとう,ひこう
ファイヤー,ほのお,ひこう
ファイヤー(ガラルのすがた),あく,ひこう
ミニリュウ,ドラゴン,
ハクリュー,ドラゴン,
カイリュー,ドラゴン,ひこう
ミュウツー,エスパー,
ミュウ,エスパー,
チコリータ,くさ,
ベイリーフ,くさ,
メガニウム,くさ,
ヒノアラシ,ほのお,
マグマラシ,ほのお,
バクフーン,ほのお,
ワニノコ,みず,
アリゲイツ,みず,
オーダイル,みず,
オタチ,ノーマル,
オオタチ,ノーマル,
ホーホー,ノーマル,ひこう
ヨルノズク,ノーマル,ひこう
レディバ,むし,ひこう
レディアン,むし,ひこう
イトマル,むし,どく
アリアドス,むし,どく
クロバット,どく,ひこう
チョンチー,みず,でんき
ランターン,みず,でんき
ピチュー,でんき,
ピィ,フェアリー,
ププリン,ノーマル,フェアリー
トゲピー,フェアリー,
トゲチック,フェアリー,ひこう
ネイティ,エスパー,ひこう
ネイティオ,エスパー,ひこう
メリープ,でんき,
モココ,でんき,
デンリュウ,でんき,
キレイハナ,くさ,
マリル,みず,フェアリー
マリルリ,みず,フェアリー
ウソッキー,いわ,
ニョロトノ,みず,
ハネッコ,くさ,ひこう
ポポッコ,くさ,ひこう
ワタッコ,くさ,ひこう
エイパム,ノーマル,
ヒマナッツ,くさ,
キマワリ,くさ,
ヤンヤンマ,むし,ひこう
ウパー,みず,じめん
ヌオー,みず,じめん
エーフィ,エスパー,
ブラッキー,あく,
ヤミカラス,あく,ひこう
ヤドキング,みず,エスパー
ヤドキング(ガラルのすがた),どく,エスパー
ムウマ,ゴースト,
アンノーン,エスパー,
ソーナンス,エスパー,
キリンリキ,ノーマル,エスパー
クヌギダマ,むし,
フォレトス,むし,はがね
ノコッチ,ノーマル,
グライガー,じめん,ひこう
ハガネール,はがね,じめん
ブルー,フェアリー,
グランブル,フェアリー,
ハリーセン,みず,どく
ハッサム,むし,はがね
ツボツボ,むし,いわ
ヘラクロス,むし,かくとう
ニューラ,あく,こおり
ヒメグマ,ノーマル,
リングマ,ノーマル,
マグマッグ,ほのお,
マグカルゴ,ほのお,いわ
ウリムー,こおり,じめん
イノムー,こおり,じめん
サニーゴ,みず,いわ
サニーゴ(ガラルのすがた),ゴースト,
テッポウオ,みず,
オクタン,みず,
デリバード,こおり,ひこう
マンタイン,みず,ひこう
エアームド,はがね,ひこう
デルビル,あく,ほのお
ヘルガー,あく,ほのお
キングドラ,みず,ドラゴン
ゴマゾウ,じめん,
ドンファン,じめん,
ポリゴン2,ノーマル,
オドシシ,ノーマル,
ドーブル,ノーマル,
バルキー,かくとう,
カポエラー,かくとう,
ムチュール,こおり,エスパー
エレキッド,でんき,
ブビィ,ほのお,
ミルタンク,ノーマル,
ハピナス,ノーマル,
ライコウ,でんき,
エンテイ,ほのお,
スイクン,みず,
ヨーギラス,いわ,じめん
サナギラス,いわ,じめん
バンギラス,いわ,あく
ルギア,エスパー,ひこう
ホウオウ,ほのお,ひこう
セレビィ,エスパー,くさ
キモリ,くさ,
ジュプトル,くさ,
ジュカイン,くさ,
アチャモ,ほのお,
ワカシャモ,ほのお,かくとう
バシャーモ,ほのお,かくとう
ミズゴロウ,みず,
ヌマクロー,みず,じめん
ラグラージ,みず,じめん
ポチエナ,あく,
グラエナ,あく,
ジグザグマ,ノーマル,
ジグザグマ(ガラルのすがた),あく,ノーマル
マッスグマ,ノーマル,
マッスグマ(ガラルのすがた),あく,ノーマル
ケムッソ,むし,
カラサリス,むし,
アゲハント,むし,ひこう
マユルド,むし,
ドクケイル,むし,どく
ハスボー,みず,くさ
ハスブレロ,みず,くさ
ルンパッパ,みず,くさ
タネボー,くさ,
コノハナ,くさ,あく
ダーテング,くさ,あく
スバメ,ノーマル,ひこう
オオスバメ,ノーマル,ひこう
キャモメ,みず,ひこう
ペリッパー,みず,ひこう
ラルトス,エスパー,フェアリー
キルリア,エスパー,フェアリー
サーナイト,エスパー,フェアリー
アメタマ,むし,みず
アメモース,むし,ひこう
キノココ,くさ,
キノガッサ,くさ,かくとう
ナマケロ,ノーマル,
ヤルキモノ,ノーマル,
ケッキング,ノーマル,
ツチニン,むし,じめん
テッカニン,むし,ひこう
ヌケニン,むし,ゴースト
ゴニョニョ,ノーマル,
ドゴーム,ノーマル,
バクオング,ノーマル,
マクノシタ,かくとう,
ハリテヤマ,かくとう,
ルリリ,ノーマル,フェアリー
ノズパス,いわ,
エネコ,ノーマル,
エネコロロ,ノーマル,
ヤミラミ,あく,ゴースト
クチート,はがね,フェアリー
ココドラ,はがね,いわ
コドラ,はがね,いわ
ボスゴドラ,はがね,いわ
アサナン,かくとう,エスパー
チャーレム,かくとう,エスパー
ラクライ,でんき,
ライボルト,でんき,
プラスル,でんき,
マイナン,でんき,
バルビート,むし,
イルミーゼ,むし,
ロゼリア,くさ,どく
ゴクリン,どく,
マルノーム,どく,
キバニア,みず,あく
サメハダー,みず,あく
ホエルコ,みず,
ホエルオー,みず,
ドンメル,ほのお,じめん
バクーダ,ほのお,じめん
コータス,ほのお,
バネブー,エスパー,
ブーピッグ,エスパー,
パッチール,ノーマル,
ナックラー,じめん,
ビブラーバ,じめん,ドラゴン
フライゴン,じめん,ドラゴン
サボネア,くさ,
ノクタス,くさ,あく
チルット,ノーマル,ひこう
チルタリス,ドラゴン,ひこう
ザングース,ノーマル,
ハブネーク,どく,
ルナトーン,いわ,エスパー
ソルロック,いわ,エスパー
ドジョッチ,みず,じめん
ナマズン,みず,じめん
ヘイガニ,みず,
シザリガー,みず,あく
ヤジロン,じめん,エスパー
ネンドール,じめん,エスパー
リリーラ,いわ,くさ
ユレイドル,いわ,くさ
アノプス,いわ,むし
アーマルド,いわ,むし
ヒンバス,みず,
ミロカロス,みず,
ポワルン,ノーマル,
ポワルン(たいようのすがた),ほのお,
ポワルン(あまみずのすがた),みず,
ポワルン(ゆきぐものすがた),こおり,
カクレオン,ノーマル,
カゲボウズ,ゴースト,
ジュペッタ,ゴースト,
ヨマワル,ゴースト,
サマヨール,ゴースト,
トロピウス,くさ,ひこう
チリーン,エスパー,
アブソル,あく,
ソーナノ,エスパー,
ユキワラシ,こおり,
オニゴーリ,こおり,
タマザラシ,こおり,みず
トドグラー,こおり,みず
トドゼルガ,こおり,みず
パールル,みず,
ハンテール,みず,
サクラビス,みず,
ジーランス,みず,いわ
ラブカス,みず,
タツベイ,ドラゴン,
コモルー,ドラゴン,
ボーマンダ,ドラゴン,ひこう
ダンバル,はがね,エスパー
メタング,はがね,エスパー
メタグロス,はがね,エスパー
レジロック,いわ,
レジアイス,こおり,
レジスチル,はがね,
ラティアス,ドラゴン,エスパー
ラティオス,ドラゴン,エスパー
カイオーガ,みず,
カイオーガ(ゲンシカイオーガ),みず,
グラードン,じめん,
グラードン(ゲンシグラードン),じめん,ほのお
レックウザ,ドラゴン,ひこう
ジラーチ,はがね,エスパー
デオキシス,エスパー,
ナエトル,くさ,
ハヤシガメ,くさ,
ドダイトス,くさ,じめん
ヒコザル,ほのお,
モウカザル,ほのお,かくとう
ゴウカザル,ほのお,かくとう
ポッチャマ,みず,
ポッタイシ,みず,
エンペルト,みず,はがね
ムックル,ノーマル,ひこう
ムクバード,ノーマル,ひこう
ムクホーク,ノーマル,ひこう
ビッパ,ノーマル,
ビーダル,ノーマル,みず
コロボーシ,むし,
コロトック,むし,
コリンク,でんき,
ルクシオ,でんき,
レントラー,でんき,
スボミー,くさ,どく
ロズレイド,くさ,どく
ズガイドス,いわ,
ラムパルド,いわ,
タテトプス,いわ,はがね
トリデプス,いわ,はがね
ミノムッチ,むし,
ミノマダム(くさきのミノ),むし,くさ
ミノマダム(すなちのミノ),むし,じめん
ミノマダム(ゴミのミノ),むし,はがね
ガーメイル,むし,ひこう
ミツハニー,むし,ひこう
ビークイン,むし,ひこう
パチリス,でんき,
ブイゼル,みず,
フローゼル,みず,
チェリンボ,くさ,
チェリム,くさ,
カラナクシ,みず,
トリトドン,みず,じめん
エテボース,ノーマル,
フワンテ,ゴースト,ひこう
フワライド,ゴースト,ひこう
ミミロル,ノーマル,
ミミロップ,ノーマル,
ムウマージ,ゴースト,
ドンカラス,あく,ひこう
ニャルマー,ノーマル,
ブニャット,ノーマル,
リーシャン,エスパー,
スカンプー,どく,あく
スカタンク,どく,あく
ドーミラー,はがね,エスパー
ドータクン,はがね,エスパー
ウソハチ,いわ,
マネネ,エスパー,フェアリー
ピンプク,ノーマル,
ペラップ,ノーマル,ひこう
ミカルゲ,ゴースト,あく
フカマル,ドラゴン,じめん
ガバイト,ドラゴン,じめん
ガブリアス,ドラゴン,じめん
ゴンベ,ノーマル,
リオル,かくとう,
ルカリオ,かくとう,はがね
ヒポポタス,じめん,
カバルドン,じめん,
スコルピ,どく,むし
ドラピオン,どく,あく
グレッグル,どく,かくとう
ドクロッグ,どく,かくとう
マスキッパ,くさ,
ケイコウオ,みず,
ネオラント,みず,
タマンタ,みず,ひこう
ユキカブリ,くさ,こおり
ユキノオー,くさ,こおり
マニューラ,あく,こおり
ジバコイル,でんき,はがね
ベロベルト,ノーマル,
ドサイドン,じめん,いわ
モジャンボ,くさ,
エレキブル,でんき,
ブーバーン,ほのお,
トゲキッス,フェアリー,ひこう
メガヤンマ,むし,ひこう
リーフィア,くさ,
グレイシア,こおり,
グライオン,じめん,ひこう
マンムー,こおり,じめん
ポリゴンZ,ノーマル,
エルレイド,エスパー,かくとう
ダイノーズ,いわ,はがね
ヨノワール,ゴースト,
ユキメノコ,こおり,ゴースト
ロトム,でんき,ゴースト
ロトム(ヒートロトム),でんき,ほのお
ロトム(スピンロトム),でんき,ひこう
ロトム(フロストロトム),でんき,こおり
ロトム(ウォッシュロトム),でんき,みず
ロトム(カットロトム),でんき,くさ
ユクシー,エスパー,
エムリット,エスパー,
アグノム,エスパー,
ディアルガ,はがね,ドラゴン
パルキア,みず,ドラゴン
ヒードラン,ほのお,はがね
レジギガス,ノーマル,
ギラティナ,ゴースト,ドラゴン
クレセリア,エスパー,
フィオネ,みず,
マナフィ,みず,
ダークライ,あく,
シェイミ(ランドフォルム),くさ,
シェイミ(スカイフォルム),くさ,ひこう
アルセウス,ノーマル,
ビクティニ,エスパー,ほのお
ツタージャ,くさ,
ジャノビー,くさ,
ジャローダ,くさ,
ポカブ,ほのお,
チャオブー,ほのお,かくとう
エンブオー,ほのお,かくとう
ミジュマル,みず,
フタチマル,みず,
ダイケンキ,みず,
ミネズミ,ノーマル,
ミルホッグ,ノーマル,
ヨーテリー,ノーマル,
ハーデリア,ノーマル,
ムーランド,ノーマル,
チョロネコ,あく,
レパルダス,あく,
ヤナップ,くさ,
ヤナッキー,くさ,
バオップ,ほのお,
バオッキー,ほのお,
ヒヤップ,みず,
ヒヤッキー,みず,
ムンナ,エスパー,
ムシャーナ,エスパー,
マメパト,ノーマル,ひこう
ハトーボー,ノーマル,ひこう
ケンホロウ,ノーマル,ひこう
シママ,でんき,
ゼブライカ,でんき,
ダンゴロ,いわ,
ガントル,いわ,
ギガイアス,いわ,
コロモリ,エスパー,ひこう
ココロモリ,エスパー,ひこう
モグリュー,じめん,
ドリュウズ,じめん,はがね
タブンネ,ノーマル,
ドッコラー,かくとう,
ドテッコツ,かくとう,
ローブシン,かくとう,
オタマロ,みず,
ガマガル,みず,じめん
ガマゲロゲ,みず,じめん
ナゲキ,かくとう,
ダゲキ,かくとう,
クルミル,むし,くさ
クルマユ,むし,くさ
ハハコモリ,むし,くさ
フシデ,むし,どく
ホイーガ,むし,どく
ペンドラー,むし,どく
モンメン,くさ,フェアリー
エルフーン,くさ,フェアリー
チュリネ,くさ,
ドレディア,くさ,
バスラオ,みず,
メグロコ,じめん,あく
ワルビル,じめん,あく
ワルビアル,じめん,あく
ダルマッカ,ほのお,
ダルマッカ(ガラルのすがた),こおり,
ヒヒダルマ,ほのお,
ヒヒダルマ(ダルマモード),ほのお,エスパー
ヒヒダルマ(ガラルのすがた),こおり,
ヒヒダルマ(ガラルのすがた)(ダルマモード),こおり,ほのお
マラカッチ,くさ,
イシズマイ,むし,いわ
イワパレス,むし,いわ
ズルッグ,あく,かくとう
ズルズキン,あく,かくとう
シンボラー,エスパー,ひこう
デスマス,ゴースト,
デスマス(ガラルのすがた),じめん,ゴースト
デスカーン,ゴースト,
プロトーガ,みず,いわ
アバゴーラ,みず,いわ
アーケン,いわ,ひこう
アーケオス,いわ,ひこう
ヤブクロン,どく,
ダストダス,どく,
ゾロア,あく,
ゾロア(ヒスイのすがた),ノーマル,ゴースト
ゾロアーク,あく,
ゾロアーク(ヒスイのすがた),ノーマル,ゴースト
チラーミィ,ノーマル,
チラチーノ,ノーマル,
ゴチム,エスパー,
ゴチミル,エスパー,
ゴチルゼル,エスパー,
ユニラン,エスパー,
ダブラン,エスパー,
ランクルス,エスパー,
コアルヒー,みず,ひこう
スワンナ,みず,ひこう
バニプッチ,こおり,
バニリッチ,こおり,
バイバニラ,こおり,
シキジカ,ノーマル,くさ
メブキジカ,ノーマル,くさ
エモンガ,でんき,ひこう
カブルモ,むし,
シュバルゴ,むし,はがね
タマゲタケ,くさ,どく
モロバレル,くさ,どく
プルリル,みず,ゴースト
ブルンゲル,みず,ゴースト
ママンボウ,みず,
バチュル,むし,でんき
デンチュラ,むし,でんき
テッシード,くさ,はがね
ナットレイ,くさ,はがね
ギアル,はがね,
ギギアル,はがね,
ギギギアル,はがね,
シビシラス,でんき,
シビビール,でんき,
シビルドン,でんき,
リグレー,エスパー,
オーベム,エスパー,
ヒトモシ,ゴースト,ほのお
ランプラー,ゴースト,ほのお
シャンデラ,ゴースト,ほのお
キバゴ,ドラゴン,
オノンド,ドラゴン,
オノノクス,ドラゴン,
クマシュン,こおり,
ツンベアー,こおり,
フリージオ,こおり,
チョボマキ,むし,
アギルダー,むし,
マッギョ,でんき,じめん
マッギョ(ガラルのすがた),じめん,はがね
コジョフー,かくとう,
コジョンド,かくとう,
クリムガン,ドラゴン,
ゴビット,じめん,ゴースト
ゴルーグ,じめん,ゴースト
コマタナ,あく,はがね
キリキザン,あく,はがね
バッフロン,ノーマル,
ワシボン,ノーマル,ひこう
ウォーグル,ノーマル,ひこう
ウォーグル(ヒスイのすがた),エスパー,ひこう
バルチャイ,あく,ひこう
バルジーナ,あく,ひこう
クイタラン,ほのお,
アイアント,むし,はがね
モノズ,あく,ドラゴン
ジヘッド,あく,ドラゴン
サザンドラ,あく,ドラゴン
メラルバ,むし,ほのお
ウルガモス,むし,ほのお
コバルオン,はがね,かくとう
テラキオン,いわ,かくとう
ビリジオン,くさ,かくとう
トルネロス,ひこう,
ボルトロス,でんき,ひこう
レシラム,ドラゴン,ほのお
ゼクロム,ドラゴン,でんき
ランドロス,じめん,ひこう
キュレム,ドラゴン,こおり
ケルディオ,みず,かくとう
メロエッタ(ボイスフォルム),ノーマル,エスパー
メロエッタ(ステップフォルム),ノーマル,かくとう
ゲノセクト,むし,はがね
ハリマロン,くさ,
ハリボーグ,くさ,
ブリガロン,くさ,かくとう
フォッコ,ほのお,
テールナー,ほのお,
マフォクシー,ほのお,エスパー
ケロマツ,みず,
ゲコガシラ,みず,
ゲッコウガ,みず,あく
ホルビー,ノーマル,
ホルード,ノーマル,じめん
ヤヤコマ,ノーマル,ひこう
ヒノヤコマ,ほのお,ひこう
ファイアロー,ほのお,ひこう
コフキムシ,むし,
コフーライ,むし,
ビビヨン,むし,ひこう
シシコ,ほのお,ノーマル
カエンジシ,ほのお,ノーマル
フラベベ,フェアリー,
フラエッテ,フェアリー,
フラージェス,フェアリー,
メェークル,くさ,
ゴーゴート,くさ,
ヤンチャム,かくとう,
ゴロンダ,かくとう,あく
トリミアン,ノーマル,
ニャスパー,エスパー,
ニャオニクス,エスパー,
ヒトツキ,はがね,ゴースト
ニダンギル,はがね,ゴースト
ギルガルド,はがね,ゴースト
シュシュプ,フェアリー,
フレフワン,フェアリー,
ペロッパフ,フェアリー,
ペロリーム,フェアリー,
マーイーカ,あく,エスパー
カラマネロ,あく,エスパー
カメテテ,いわ,みず
ガメノデス,いわ,みず
クズモー,どく,みず
ドラミドロ,どく,ドラゴン
ウデッポウ,みず,
ブロスター,みず,
エリキテル,でんき,ノーマル
エレザード,でんき,ノーマル
チゴラス,いわ,ドラゴン
ガチゴラス,いわ,ドラゴン
アマルス,いわ,こおり
アマルルガ,いわ,こおり
ニンフィア,フェアリー,
ルチャブル,かくとう,ひこう
デデンネ,でんき,フェアリー
メレシー,いわ,フェアリー
ヌメラ,ドラゴン,
ヌメイル,ドラゴン,
ヌメルゴン,ドラゴン,
クレッフィ,はがね,フェアリー
ボクレー,ゴースト,くさ
オーロット,ゴースト,くさ
バケッチャ,ゴースト,くさ
パンプジン,ゴースト,くさ
カチコール,こおり,
クレベース,こおり,
オンバット,ひこう,ドラゴン
オンバーン,ひこう,ドラゴン
ゼルネアス,フェアリー,
イベルタル,あく,ひこう
ジガルデ,ドラゴン,じめん
ディアンシー,いわ,フェアリー
フーパ(いましめられしフーパ),エスパー,ゴースト
フーパ(ときはなたれしフーパ),エスパー,あく
ボルケニオン,ほのお,みず
モクロー,くさ,ひこう
フクスロー,くさ,ひこう
ジュナイパー,くさ,ゴースト
ニャビー,ほのお,
ニャヒート,ほのお,
ガオガエン,ほのお,あく
アシマリ,みず,
オシャマリ,みず,
アシレーヌ,みず,フェアリー
ツツケラ,ノーマル,ひこう
ケララッパ,ノーマル,ひこう
ドデカバシ,ノーマル,ひこう
ヤングース,ノーマル,
デカグース,ノーマル,
アゴジムシ,むし,
デンヂムシ,むし,でんき
クワガノン,むし,でんき
マケンカニ,かくとう,
ケケンカニ,かくとう,こおり
オドリドリ(めらめらスタイル),ほのお,ひこう
オドリドリ(ぱちぱちスタイル),でんき,ひこう
オドリドリ(ふらふらスタイル),エスパー,ひこう
オドリドリ(まいまいスタイル),ゴースト,ひこう
アブリー,むし,フェアリー
アブリボン,むし,フェアリー
イワンコ,いわ,
ルガルガン,いわ,
ヨワシ,みず,
ヒドイデ,どく,みず
ドヒドイデ,どく,みず
ドロバンコ,じめん,
バンバドロ,じめん,
シズクモ,みず,むし
オニシズクモ,みず,むし
カリキリ,くさ,
ラランテス,くさ,
ネマシュ,くさ,フェアリー
マシェード,くさ,フェアリー
ヤトウモリ,どく,ほのお
エンニュート,どく,ほのお
ヌイコグマ,ノーマル,かくとう
キテルグマ,ノーマル,かくとう
アマカジ,くさ,
アママイコ,くさ,
アマージョ,くさ,
キュワワー,フェアリー,
ヤレユータン,ノーマル,エスパー
ナゲツケサル,かくとう,
コソクムシ,むし,みず
グソクムシャ,むし,みず
スナバァ,ゴースト,じめん
シロデスナ,ゴースト,じめん
ナマコブシ,みず,
タイプ:ヌル,ノーマル,
シルヴァディ,ノーマル,
メテノ,いわ,ひこう
ネッコアラ,ノーマル,
バクガメス,ほのお,ドラゴン
トゲデマル,でんき,はがね
ミミッキュ,ゴースト,フェアリー
ハギギシリ,みず,エスパー
ジジーロン,ノーマル,ドラゴン
ダダリン,ゴースト,くさ
ジャラコ,ドラゴン,
ジャランゴ,ドラゴン,かくとう
ジャラランガ,ドラゴン,かくとう
カプ・コケコ,でんき,フェアリー
カプ・テテフ,エスパー,フェアリー
カプ・ブルル,くさ,フェアリー
カプ・レヒレ,みず,フェアリー
コスモッグ,エスパー,
コスモウム,エスパー,
ソルガレオ,エスパー,はがね
ルナアーラ,エスパー,ゴースト
ウツロイド,いわ,どく
マッシブーン,むし,かくとう
フェローチェ,むし,かくとう
デンジュモク,でんき,
テッカグヤ,はがね,ひこう
カミツルギ,くさ,はがね
アクジキング,あく,ドラゴン
ネクロズマ,エスパー,
ネクロズマ(たそがれのたてがみ),エスパー,はがね
ネクロズマ(あかつきのつばさ),エスパー,ゴースト
ネクロズマ(ウルトラネクロズマ),エスパー,ドラゴン
マギアナ,はがね,フェアリー
マーシャドー,かくとう,ゴースト
ベベノム,どく,
アーゴヨン,どく,ドラゴン
ツンデツンデ,いわ,はがね
ズガドーン,ほのお,ゴースト
ゼラオラ,でんき,
メルタン,はがね,
メルメタル,はがね,
サルノリ,くさ,
バチンキー,くさ,
ゴリランダー,くさ,
ヒバニー,ほのお,
ラビフット,ほのお,
エースバーン,ほのお,
メッソン,みず,
ジメレオン,みず,
インテレオン,みず,
ホシガリス,ノーマル,
ヨクバリス,ノーマル,
ココガラ,ひこう,
アオガラス,ひこう,
アーマーガア,ひこう,はがね
サッチムシ,むし,
レドームシ,むし,エスパー
イオルブ,むし,エスパー
クスネ,あく,
フォクスライ,あく,
ヒメンカ,くさ,
ワタシラガ,くさ,
ウールー,ノーマル,
バイウールー,ノーマル,
カムカメ,みず,
カジリガメ,みず,いわ
ワンパチ,でんき,
パルスワン,でんき,
タンドン,いわ,
トロッゴン,いわ,ほのお
セキタンザン,いわ,ほのお
カジッチュ,くさ,ドラゴン
アップリュー,くさ,ドラゴン
タルップル,くさ,ドラゴン
スナヘビ,じめん,
サダイジャ,じめん,
ウッウ,ひこう,みず
サシカマス,みず,
カマスジョー,みず,
エレズン,でんき,どく
ストリンダー,でんき,どく
ヤクデ,ほのお,むし
マルヤクデ,ほのお,むし
タタッコ,かくとう,
オトスパス,かくとう,
ヤバチャ,ゴースト,
ポットデス,ゴースト,
ミブリム,エスパー,
テブリム,エスパー,
ブリムオン,エスパー,フェアリー
ベロバー,あく,フェアリー
ギモー,あく,フェアリー
オーロンゲ,あく,フェアリー
タチフサグマ,あく,ノーマル
ニャイキング,はがね,
サニゴーン,ゴースト,
ネギガナイト,かくとう,
バリコオル,こおり,エスパー
デスバーン,じめん,ゴースト
マホミル,フェアリー,
マホイップ,フェアリー,
タイレーツ,かくとう,
バチンウニ,でんき,
ユキハミ,こおり,むし
モスノウ,こおり,むし
イシヘンジン,いわ,
コオリッポ,こおり,
イエッサン,エスパー,ノーマル
モルペコ,でんき,あく
ゾウドウ,はがね,
ダイオウドウ,はがね,
パッチラゴン,でんき,ドラゴン
パッチルドン,でんき,こおり
ウオノラゴン,みず,ドラゴン
ウオチルドン,みず,こおり
ジュラルドン,はがね,ドラゴン
ドラメシヤ,ドラゴン,ゴースト
ドロンチ,ドラゴン,ゴースト
ドラパルト,ドラゴン,ゴースト
ザシアン(れきせんのゆうしゃ),フェアリー,
ザシアン(けんのおう),フェアリー,はがね
ザマゼンタ(れきせんのゆうしゃ),かくとう,
ザマゼンタ(たてのおう),かくとう,はがね
ムゲンダイナ,どく,ドラゴン
ダクマ,かくとう,
ウーラオス(いちげきのかた),かくとう,あく
ウーラオス(れんげきのかた),かくとう,みず
ザルード,あく,くさ
レジエレキ,でんき,
レジドラゴ,ドラゴン,
ブリザポス,こおり,
レイスポス,ゴースト,
バドレックス,エスパー,くさ
バドレックス(はくばじょうのすがた),エスパー,こおり
